"n","m","l","an"
8,0.,0.,24.3477292959899
8,0.,0.0025,24.34719186873439
8,0.,0.005,24.35247142318234
8,0.,0.0075,24.363178508848748
8,0.,0.01,24.37892367524862
8,0.,0.0125,24.399317471896968
8,0.,0.015,24.423970448308783
8,0.,0.0175,24.452493153999082
8,0.,0.02,24.484496138482864
8,0.,0.0225,24.519589951275147
8,0.,0.025,24.557385141890922
8,0.,0.0275,24.596962055384797
8,0.,0.03,24.63867352751633
8,0.,0.0325,24.682342189584705
8,0.,0.035,24.727790672889082
8,0.,0.0375,24.774661763066444
8,0.,0.04,24.82302987534301
8,0.,0.0425,24.872789579282806
8,0.,0.045,24.923835444449896
8,0.,0.0475,24.975957366968444
8,0.,0.05,25.029196459218273
8,0.,0.0525,25.083489160139386
8,0.,0.055,25.138771908671742
8,0.,0.0575,25.19492033075644
8,0.,0.06,25.2519560035319
8,0.,0.0625,25.309839691137647
8,0.,0.065,25.36853215771324
8,0.,0.0675,25.427957839713002
8,0.,0.07,25.488128360035727
8,0.,0.0725,25.54901901389506
8,0.,0.075,25.61060509650456
8,0.,0.0775,25.672839413511145
8,0.,0.08,25.735728745521826
8,0.,0.0825,25.799257383576904
8,0.,0.085,25.863409618716666
8,0.,0.08750000000000001,25.928155297110447
8,0.,0.09,25.993498932617896
8,0.,0.0925,26.05943059422773
8,0.,0.095,26.125940350928616
8,0.,0.0975,26.193008653935202
8,0.,0.1,26.260639037119837
8,0.,0.10250000000000001,26.328825416580845
8,0.,0.105,26.39756170841652
8,0.,0.1075,26.466835197363075
8,0.,0.11,26.536649083425743
8,0.,0.1125,26.606999935247718
8,0.,0.115,26.677884321472135
8,0.,0.11750000000000001,26.749294079183258
8,0.,0.12,26.821232401206693
8,0.,0.1225,26.893697748809156
8,0.,0.125,26.966688583257355
8,0.,0.1275,27.0401998726822
8,0.,0.13,27.114234968740547
8,0.,0.1325,27.188793729953403
8,0.,0.135,27.263876014841802
8,0.,0.1375,27.33947901286753
8,0.,0.14,27.415606319234577
8,0.,0.14250000000000002,27.492258860087677
8,0.,0.145,27.569437561571586
8,0.,0.1475,27.64714123816222
8,0.,0.15,27.725373772340646
8,0.,0.1525,27.80413693491916
8,0.,0.155,27.883432496710007
8,0.,0.1575,27.96326049819503
8,0.,0.16,28.043625132649108
8,0.,0.1625,28.12452886301665
8,0.,0.165,28.205974152242103
8,0.,0.1675,28.287961995225178
8,0.,0.17,28.370496910172918
8,0.,0.17250000000000001,28.453581947247653
8,0.,0.17500000000000002,28.537220156611696
8,0.,0.1775,28.621413300259746
8,0.,0.18,28.706166231788803
8,0.,0.1825,28.791482516628225
8,0.,0.185,28.877365720207415
8,0.,0.1875,28.9638182412819
8,0.,0.19,29.050845278624415
8,0.,0.1925,29.13845086433385
8,0.,0.195,29.22663903050912
8,0.,0.1975,29.31541272171059
8,0.,0.2,29.404777492591112
8,0.,0.2025,29.494737810264986
8,0.,0.20500000000000002,29.58529814184653
8,0.,0.20750000000000002,29.67646191453394
8,0.,0.21,29.768235051324105
8,0.,0.2125,29.860622435297774
8,0.,0.215,29.95362894953569
8,0.,0.2175,30.047258460734582
8,0.,0.22,30.14151727491286
8,0.,0.2225,30.23641068170493
8,0.,0.225,30.331943970745147
8,0.,0.2275,30.42812141984515
8,0.,0.23,30.52494973519118
8,0.,0.2325,30.622434611146716
8,0.,0.23500000000000001,30.720581742075233
8,0.,0.23750000000000002,30.819395799645996
8,0.,0.24,30.918883909994396
8,0.,0.2425,31.01905217656159
8,0.,0.245,31.119906702788743
8,0.,0.2475,31.221452545546388
8,0.,0.25,31.32369727347456
8,0.,0.2525,31.426647408642705
8,0.,0.255,31.5303094731202
8,0.,0.2575,31.63468890716783
8,0.,0.26,31.739793747387125
8,0.,0.2625,31.845630948570964
8,0.,0.265,31.952207465512217
8,0.,0.2675,32.059529125649526
8,0.,0.27,32.1676044620717
8,0.,0.2725,32.27644088051335
8,0.,0.275,32.38604578670902
8,0.,0.2775,32.49642540382183
8,0.,0.28,32.60758879318639
8,0.,0.28250000000000003,32.71954383356587
8,0.,0.28500000000000003,32.83229840372348
8,0.,0.28750000000000003,32.94585913523536
8,0.,0.29,33.06023565292643
8,0.,0.2925,33.175436334434664
8,0.,0.295,33.29146955739798
8,0.,0.2975,33.408342378287735
8,0.,0.3,33.52606502437515
8,0.,0.3025,33.644646401764774
8,0.,0.305,33.76409541656119
8,0.,0.3075,33.88441957014083
8,0.,0.31,34.0056297352277
8,0.,0.3125,34.12773537981775
8,0.,0.315,34.25074597190678
8,0.,0.3175,34.374669481210994
8,0.,0.32,34.49951747331784
8,0.,0.3225,34.62530001553505
8,0.,0.325,34.75202717517035
8,0.,0.3275,34.879707417122304
8,0.,0.33,35.00835305207155
8,0.,0.3325,35.137974788289476
8,0.,0.335,35.26858333404753
8,0.,0.3375,35.40018767973254
8,0.,0.34,35.532800938654354
8,0.,0.3425,35.66643450623823
8,0.,0.34500000000000003,35.801099777909435
8,0.,0.34750000000000003,35.93680630344189
8,0.,0.35000000000000003,36.073568062172725
8,0.,0.3525,36.21139718778769
8,0.,0.355,36.3503058139726
8,0.,0.3575,36.49030408757634
8,0.,0.36,36.63140692385636
8,0.,0.3625,36.77362725123316
8,0.,0.365,36.9169779981273
8,0.,0.3675,37.06146995019305
8,0.,0.37,37.20711903572376
8,0.,0.3725,37.35393904024643
8,0.,0.375,37.501943749288145
8,0.,0.3775,37.651144633396775
8,0.,0.38,37.80155871907021
8,0.,0.3825,37.95320071782718
8,0.,0.385,38.1060853411864
8,0.,0.3875,38.260224795412626
8,0.,0.39,38.41563729938012
8,0.,0.3925,38.5723385667092
8,0.,0.395,38.73034431102021
8,0.,0.3975,38.889667530295384
8,0.,0.4,39.05032774004832
8,0.,0.4025,39.21234174015451
8,0.,0.405,39.375726330489485
8,0.,0.40750000000000003,39.54049536244408
8,0.,0.41000000000000003,39.7066697637724
8,0.,0.41250000000000003,39.87426751374385
8,0.,0.41500000000000004,40.04330659162787
8,0.,0.4175,40.21380177019651
8,0.,0.42,40.38577551781546
8,0.,0.4225,40.55924709635303
8,0.,0.425,40.73423576767758
8,0.,0.4275,40.91075730087491
8,0.,0.43,41.0888358477089
8,0.,0.4325,41.268492067160885
8,0.,0.435,41.44974661821224
8,0.,0.4375,41.63261634892928
8,0.,0.44,41.817127253574384
8,0.,0.4425,42.003301515494854
8,0.,0.445,42.19116131803804
8,0.,0.4475,42.380724679537934
8,0.,0.45,42.5720196143606
8,0.,0.4525,42.76506997185868
8,0.,0.455,42.9598996013849
8,0.,0.4575,43.15652779246017
8,0.,0.46,43.35498477820165
8,0.,0.4625,43.55529623189471
8,0.,0.465,43.75748782682474
8,0.,0.4675,43.96158023540771
8,0.,0.47000000000000003,44.16760613214618
8,0.,0.47250000000000003,44.37559319067335
8,0.,0.47500000000000003,44.58556908462236
8,0.,0.47750000000000004,44.79755599312384
8,0.,0.48,45.01158928211447
8,0.,0.4825,45.227698823028376
8,0.,0.485,45.44591448729974
8,0.,0.4875,45.66626614636268
8,0.,0.49,45.88878367165137
8,0.,0.4925,46.113496934599944
8,0.,0.495,46.34043580664256
8,0.,0.4975,46.56963015921337
8,0.,0.5,46.80110986374653
8,0.005,0.,24.34450097103366
8,0.005,0.0025,24.347881742977943
8,0.005,0.005,24.356407369975535
8,0.005,0.0075,24.369765043619566
8,0.005,0.01,24.387641955503163
8,0.005,0.0125,24.40972529721946
8,0.005,0.015,24.435702260361577
8,0.005,0.0175,24.46526003652265
8,0.005,0.02,24.498085817295802
8,0.005,0.0225,24.533866794274175
8,0.005,0.025,24.57229015905088
8,0.005,0.0275,24.61271456540346
8,0.005,0.03,24.655287157866876
8,0.005,0.0325,24.699826543160498
8,0.005,0.035,24.74615132800369
