GarciaEtAl2005SSlab_CanadaSHM6-trial modified from OpenQuake implementation, distance is rhypo. Log10 ground motion values in cgs units, PGV and Sa(T<0.1s) not valid
          14 31 18 : nmag, ndist, nperiod
          10.000 5.000 4.000 3.000 2.000 1.500 1.000 0.750 0.500 0.400 0.300 0.200 0.100 0.070 0.050 0.040 PGA PGV 
          0.567 0.567 0.583 0.605 0.607 0.645 0.638 0.631 0.609 0.626 0.637 0.644 0.770 0.775 0.773 0.733 0.657 0.593
4.750 1.000 -0.524 0.031 0.269 0.581 0.968 1.246 1.584 1.806 2.113 2.266 2.482 2.664 2.895 2.848 2.780 2.717 2.460 0.763 
4.750 1.260 -0.548 0.005 0.244 0.555 0.942 1.221 1.558 1.780 2.087 2.240 2.456 2.638 2.869 2.822 2.754 2.691 2.434 0.737 
4.750 1.580 -0.580 -0.030 0.208 0.520 0.907 1.185 1.523 1.745 2.052 2.204 2.420 2.602 2.833 2.786 2.718 2.655 2.398 0.702 
4.750 2.000 -0.624 -0.077 0.162 0.473 0.860 1.139 1.476 1.698 2.005 2.157 2.373 2.555 2.786 2.739 2.671 2.607 2.351 0.655 
4.750 2.510 -0.678 -0.134 0.104 0.415 0.802 1.081 1.418 1.640 1.946 2.099 2.314 2.496 2.727 2.680 2.612 2.548 2.292 0.596 
4.750 3.160 -0.742 -0.203 0.035 0.347 0.733 1.012 1.349 1.570 1.877 2.029 2.244 2.426 2.656 2.609 2.541 2.478 2.221 0.527 
4.750 3.980 -0.815 -0.281 -0.043 0.269 0.655 0.933 1.270 1.492 1.798 1.950 2.165 2.346 2.576 2.529 2.461 2.397 2.141 0.448 
4.750 5.010 -0.894 -0.366 -0.128 0.183 0.570 0.848 1.184 1.405 1.711 1.863 2.077 2.258 2.488 2.440 2.372 2.309 2.053 0.361 
4.750 6.310 -0.977 -0.456 -0.218 0.093 0.479 0.756 1.093 1.313 1.619 1.770 1.984 2.164 2.393 2.345 2.277 2.214 1.959 0.269 
4.750 7.940 -1.064 -0.551 -0.312 -0.002 0.384 0.661 0.997 1.217 1.522 1.672 1.885 2.065 2.293 2.246 2.177 2.114 1.859 0.172 
4.750 10.000 -1.153 -0.648 -0.410 -0.099 0.286 0.562 0.898 1.118 1.421 1.571 1.783 1.962 2.190 2.141 2.073 2.010 1.756 0.072 
4.750 12.590 -1.243 -0.747 -0.509 -0.199 0.185 0.462 0.797 1.016 1.318 1.467 1.678 1.856 2.082 2.033 1.965 1.902 1.649 -0.031 
4.750 15.850 -1.333 -0.847 -0.609 -0.300 0.083 0.359 0.693 0.911 1.212 1.360 1.569 1.745 1.970 1.921 1.853 1.790 1.538 -0.137 
4.750 19.950 -1.425 -0.949 -0.712 -0.402 -0.021 0.254 0.587 0.804 1.103 1.249 1.457 1.632 1.855 1.805 1.736 1.674 1.423 -0.246 
4.750 25.120 -1.517 -1.052 -0.815 -0.506 -0.126 0.147 0.479 0.695 0.992 1.136 1.340 1.513 1.734 1.684 1.615 1.552 1.303 -0.357 
4.750 31.620 -1.610 -1.156 -0.919 -0.612 -0.234 0.039 0.369 0.582 0.876 1.018 1.219 1.390 1.608 1.556 1.487 1.425 1.178 -0.472 
4.750 39.810 -1.704 -1.262 -1.026 -0.719 -0.344 -0.073 0.256 0.466 0.757 0.895 1.092 1.260 1.474 1.422 1.352 1.290 1.046 -0.591 
4.750 50.120 -1.799 -1.370 -1.134 -0.828 -0.456 -0.188 0.138 0.346 0.632 0.767 0.959 1.122 1.332 1.278 1.208 1.146 0.906 -0.715 
4.750 63.100 -1.896 -1.479 -1.244 -0.940 -0.572 -0.306 0.017 0.221 0.500 0.630 0.816 0.974 1.178 1.122 1.052 0.990 0.755 -0.845 
4.750 79.430 -1.995 -1.591 -1.357 -1.055 -0.692 -0.430 -0.111 0.088 0.361 0.485 0.662 0.814 1.011 0.952 0.881 0.820 0.591 -0.983 
4.750 100.000 -2.097 -1.706 -1.473 -1.174 -0.817 -0.559 -0.245 -0.052 0.211 0.327 0.494 0.638 0.825 0.764 0.692 0.632 0.410 -1.132 
4.750 125.890 -2.203 -1.825 -1.593 -1.298 -0.949 -0.696 -0.389 -0.204 0.048 0.155 0.308 0.443 0.618 0.553 0.480 0.420 0.208 -1.292 
4.750 158.490 -2.313 -1.949 -1.719 -1.428 -1.089 -0.843 -0.543 -0.368 -0.131 -0.036 0.100 0.223 0.383 0.313 0.239 0.180 -0.021 -1.469 
4.750 199.530 -2.430 -2.080 -1.851 -1.565 -1.239 -1.002 -0.712 -0.549 -0.331 -0.251 -0.136 -0.029 0.113 0.037 -0.039 -0.096 -0.282 -1.665 
4.750 251.190 -2.555 -2.218 -1.992 -1.713 -1.403 -1.177 -0.899 -0.752 -0.556 -0.496 -0.407 -0.319 -0.200 -0.285 -0.362 -0.418 -0.586 -1.887 
4.750 316.230 -2.689 -2.366 -2.144 -1.873 -1.583 -1.370 -1.108 -0.980 -0.814 -0.778 -0.722 -0.659 -0.570 -0.664 -0.744 -0.798 -0.942 -2.140 
4.750 398.110 -2.836 -2.527 -2.308 -2.048 -1.784 -1.588 -1.346 -1.243 -1.113 -1.107 -1.093 -1.062 -1.009 -1.115 -1.199 -1.250 -1.365 -2.432 
4.750 501.190 -2.998 -2.703 -2.490 -2.243 -2.010 -1.837 -1.619 -1.547 -1.464 -1.496 -1.534 -1.542 -1.535 -1.657 -1.745 -1.793 -1.871 -2.774 
4.750 630.960 -3.181 -2.899 -2.692 -2.462 -2.270 -2.124 -1.937 -1.904 -1.879 -1.959 -2.064 -2.121 -2.173 -2.314 -2.407 -2.451 -2.482 -3.179 
4.750 794.330 -3.388 -3.120 -2.921 -2.713 -2.571 -2.459 -2.311 -2.327 -2.376 -2.517 -2.704 -2.824 -2.949 -3.115 -3.214 -3.254 -3.226 -3.663 
4.750 1000.000 -3.626 -3.372 -3.184 -3.002 -2.924 -2.855 -2.757 -2.834 -2.976 -3.193 -3.485 -3.682 -3.900 -4.097 -4.205 -4.238 -4.136 -4.246 
5.000 1.000 -0.382 0.167 0.398 0.698 1.073 1.342 1.667 1.877 2.175 2.320 2.532 2.703 2.925 2.883 2.818 2.756 2.499 0.833 
5.000 1.260 -0.397 0.151 0.382 0.682 1.057 1.326 1.650 1.861 2.159 2.304 2.516 2.687 2.908 2.866 2.801 2.740 2.483 0.817 
5.000 1.580 -0.418 0.128 0.358 0.658 1.034 1.303 1.627 1.837 2.135 2.280 2.492 2.663 2.884 2.842 2.777 2.716 2.459 0.793 
5.000 2.000 -0.447 0.095 0.326 0.626 1.001 1.270 1.594 1.804 2.102 2.247 2.459 2.630 2.851 2.809 2.744 2.682 2.425 0.760 
5.000 2.510 -0.487 0.052 0.282 0.582 0.957 1.226 1.550 1.760 2.058 2.203 2.415 2.585 2.806 2.764 2.699 2.638 2.381 0.716 
5.000 3.160 -0.538 -0.003 0.227 0.527 0.902 1.171 1.495 1.705 2.003 2.147 2.359 2.529 2.750 2.708 2.643 2.581 2.325 0.661 
5.000 3.980 -0.599 -0.069 0.161 0.461 0.836 1.104 1.428 1.638 1.935 2.079 2.291 2.461 2.682 2.639 2.574 2.513 2.256 0.594 
5.000 5.010 -0.669 -0.145 0.086 0.385 0.760 1.028 1.352 1.561 1.858 2.002 2.213 2.383 2.603 2.561 2.495 2.434 2.178 0.516 
5.000 6.310 -0.746 -0.228 0.002 0.302 0.676 0.944 1.267 1.476 1.773 1.916 2.126 2.296 2.515 2.473 2.407 2.346 2.091 0.431 
5.000 7.940 -0.828 -0.318 -0.088 0.212 0.586 0.853 1.176 1.385 1.681 1.823 2.033 2.202 2.421 2.378 2.313 2.251 1.996 0.339 
5.000 10.000 -0.914 -0.411 -0.181 0.118 0.491 0.758 1.081 1.289 1.584 1.726 1.934 2.102 2.320 2.277 2.212 2.150 1.896 0.242 
5.000 12.590 -1.002 -0.508 -0.278 0.021 0.393 0.660 0.981 1.189 1.483 1.624 1.831 1.998 2.215 2.171 2.106 2.045 1.791 0.141 
5.000 15.850 -1.092 -0.607 -0.378 -0.079 0.292 0.558 0.879 1.086 1.378 1.518 1.723 1.889 2.105 2.061 1.995 1.934 1.682 0.037 
5.000 19.950 -1.183 -0.708 -0.479 -0.181 0.189 0.454 0.775 0.980 1.270 1.409 1.612 1.776 1.990 1.946 1.880 1.819 1.568 -0.070 
5.000 25.120 -1.274 -0.811 -0.582 -0.284 0.084 0.348 0.667 0.871 1.159 1.295 1.496 1.659 1.870 1.825 1.759 1.698 1.449 -0.181 
5.000 31.620 -1.367 -0.915 -0.686 -0.389 -0.023 0.240 0.557 0.759 1.044 1.178 1.376 1.536 1.744 1.698 1.632 1.571 1.324 -0.296 
5.000 39.810 -1.461 -1.020 -0.792 -0.496 -0.133 0.129 0.444 0.643 0.925 1.056 1.249 1.406 1.611 1.563 1.497 1.436 1.193 -0.414 
5.000 50.120 -1.556 -1.128 -0.900 -0.605 -0.245 0.014 0.327 0.523 0.800 0.927 1.116 1.268 1.469 1.420 1.352 1.292 1.052 -0.538 
5.000 63.100 -1.653 -1.237 -1.010 -0.717 -0.361 -0.104 0.205 0.398 0.669 0.791 0.973 1.121 1.315 1.264 1.197 1.137 0.902 -0.668 
5.000 79.430 -1.752 -1.349 -1.122 -0.832 -0.481 -0.228 0.078 0.265 0.529 0.646 0.819 0.961 1.148 1.094 1.026 0.967 0.737 -0.807 
5.000 100.000 -1.854 -1.464 -1.238 -0.951 -0.606 -0.357 -0.056 0.125 0.379 0.488 0.651 0.785 0.963 0.906 0.837 0.778 0.556 -0.955 
5.000 125.890 -1.960 -1.583 -1.359 -1.075 -0.738 -0.495 -0.200 -0.026 0.217 0.316 0.465 0.589 0.756 0.695 0.625 0.567 0.355 -1.116 
5.000 158.490 -2.071 -1.707 -1.485 -1.205 -0.878 -0.641 -0.354 -0.191 0.037 0.125 0.257 0.369 0.521 0.455 0.384 0.327 0.126 -1.292 
5.000 199.530 -2.188 -1.838 -1.617 -1.342 -1.028 -0.800 -0.523 -0.372 -0.162 -0.090 0.022 0.118 0.251 0.179 0.106 0.051 -0.135 -1.489 
5.000 251.190 -2.312 -1.976 -1.758 -1.490 -1.192 -0.975 -0.710 -0.574 -0.388 -0.335 -0.249 -0.173 -0.063 -0.142 -0.217 -0.272 -0.439 -1.710 
